k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2617,1346,180.06572975184116,180.21868673728105,181.34550421165108,613153,0.3217505543966423,11,0.608181461
2618,1334,180.10034803462185,180.360822361012,181.3801484958933,600565,0.24497866312686423,10,0.59401395
2619,1338,180.13091298483232,180.45023809946008,181.41478616421173,601736,0.24497866312686423,9,0.603116807
2620,1342,180.17008501938304,180.53965383790816,181.44941722039513,602160,0.3217505543966423,11,0.593038412
2621,1343,180.20470330216375,180.55074316284842,181.48404166822877,603353,0.24497866312686423,11,0.636284265
2622,1342,180.24387533671447,180.56183248778868,181.51865951149418,603247,0.3217505543966423,12,0.597787596
2623,1367,180.27849361949515,180.70396811151963,181.55327075396937,609527,0.24497866312686423,10,0.631685729
2624,1363,180.30905856970563,180.84610373525058,181.58787539942875,601231,0.24497866312686423,10,0.582856792
2625,1365,180.33632214068774,180.93551947369866,181.62247345164317,594650,0.24497866312686423,9,0.603940582
2626,1367,180.3604082527126,181.02493521214674,181.65706491437976,593740,0.24497866312686423,9,0.595013724
2627,1368,180.39958028726332,181.03602453708697,181.6916497914022,594961,0.3217505543966423,10,0.602161244
2628,1369,180.43419857004403,181.04711386202723,181.7262280864705,596218,0.24497866312686423,10,0.59367208
2629,1357,180.47337060459472,181.18924948575818,181.76079980334114,582181,0.3217505543966423,10,0.56806595
2630,1358,180.5079888873754,181.20094420419093,181.79536494576703,583373,0.24497866312686423,9,0.579273045
2631,1359,180.5385538375859,181.21263892262368,181.82992351749746,584575,0.24497866312686423,10,0.588527877
2632,1359,180.57772587213663,181.22433364105643,181.86447552227824,585291,0.3217505543966423,11,0.565829993
2633,1359,180.6123441549173,181.23602835948918,181.89902096385154,586007,0.24497866312686423,10,0.593882302
2634,1359,180.65151618946803,181.24772307792193,181.93355984595604,586713,0.3217505543966423,11,0.58888197
2635,1359,180.6861344722487,181.25941779635468,181.96809217232678,587421,0.24497866312686423,10,0.573179564
2636,1360,180.71669942245921,181.27111251478743,182.0026179466954,588646,0.24497866312686423,10,0.583022736
2637,1361,180.75587145700996,181.28280723322018,182.03713717278993,589873,0.3217505543966423,12,0.579853075
2638,1362,180.79048973979062,181.29906421651475,182.07164985433482,591081,0.24497866312686423,11,0.587827652
2639,1363,180.82966177434133,181.31532119980932,182.10615599505104,592298,0.3217505543966423,12,0.602776545
2640,1366,180.86428005712202,181.3749462029423,182.140655598656,594479,0.24497866312686423,10,0.603642154
2641,1369,180.89484500733252,181.43457120607533,182.17514866886364,596713,0.24497866312686423,11,0.608678592
2642,1368,180.92210857831463,181.4543360439124,182.2096352093844,596521,0.24497866312686423,9,0.583197827
2643,1367,180.94619469033952,181.47410088174948,182.24411522392512,596470,0.24497866312686423,9,0.616726713
2644,1366,180.98536672489024,181.49386571958655,182.2785887161892,596268,0.3217505543966423,10,0.580987083
2645,1367,181.01998500767095,181.51363055742365,182.3130556898765,597488,0.24497866312686423,10,0.614553194
2646,1363,181.05915704222167,181.57325556055667,182.34751614868344,594942,0.3217505543966423,11,0.601489867
2647,1361,181.09377532500233,181.6328805636897,182.3819700963029,593406,0.24497866312686423,9,0.599753062
2648,1361,181.12434027521283,181.64913754698426,182.4164175364243,594107,0.24497866312686423,10,0.608764917
2649,1361,181.16351230976355,181.66539453027883,182.45085847273356,594784,0.3217505543966423,11,0.604508043
2650,1361,181.18883537745882,181.6816515135734,182.4852929089131,595474,0.24497866312686423,8,0.6032229
2651,1361,181.22800741200953,181.69790849686797,182.5197208486419,596168,0.3217505543966423,9,0.602833118
2652,1361,181.26262569479024,181.75753350000096,182.55414229559548,596867,0.24497866312686423,9,0.603535228
2653,1359,181.30179772934096,181.81715850313395,182.58855725344588,594508,0.3217505543966423,10,0.592486253
2654,1358,181.33641601212165,181.83692334097105,182.62296572586166,595135,0.24497866312686423,9,0.595773666
2655,1359,181.36698096233212,181.85668817880813,182.65736771650796,596435,0.24497866312686423,9,0.612088368
2656,1358,181.40615299688284,181.87645301664523,182.69176322904644,597088,0.3217505543966423,10,0.60872462
2657,1357,181.44077127966355,181.89621785448233,182.72615226713532,597354,0.24497866312686423,10,0.609176071
2658,1360,181.47994331421427,181.9558428576153,182.7605348344294,599734,0.3217505543966423,11,0.588341125
2659,1363,181.50789501594156,182.0154678607483,182.79491093458,602273,0.24497866312686423,9,0.58591087
2660,1364,181.53198112796642,182.03172484404283,182.82928057123507,603509,0.24497866312686423,9,0.611909925
2661,1365,181.57115316251713,182.0479818273374,182.8636437480391,604772,0.3217505543966423,10,0.613127253
2662,1366,181.60577144529782,182.09233433084057,182.8980004686331,604953,0.24497866312686423,9,0.606265591
2663,1367,181.64494347984854,182.13668683434375,182.93235073665477,605479,0.3217505543966423,10,0.609472756
2664,1367,181.67956176262925,182.18103933784693,182.9666945557383,606172,0.24497866312686423,10,0.616002465
2665,1371,181.71012671283972,182.2253918413501,183.00103192951454,608972,0.24497866312686423,10,0.619357763
2666,1371,181.74929874739044,182.26974434485328,183.03536286161085,609679,0.3217505543966423,11,0.618023033
2667,1375,181.7746218150857,182.31409684835646,183.0696873556513,612504,0.24497866312686423,9,0.617191647
2668,1376,181.81379384963643,182.35844935185963,183.10400541525647,612930,0.3217505543966423,10,0.627421668
2669,1377,181.8484121324171,182.40280185536284,183.1383170440436,613770,0.24497866312686423,10,0.622204481
2670,1378,181.88758416696788,182.4190588386574,183.1726222456265,614988,0.3217505543966423,11,0.624658342
2671,1379,181.92220244974857,182.43531582195197,183.20692102361568,616213,0.24497866312686423,10,0.615370685
2672,1378,181.95276739995901,182.44849665248563,183.24121338161814,615294,0.24497866312686423,10,0.625855485
2673,1377,181.99193943450973,182.4616774830193,183.2754993232376,614290,0.3217505543966423,11,0.624640603
2674,1377,182.02655771729047,182.4866429095911,183.3097788520744,614547,0.24497866312686423,11,0.620406287
2675,1377,182.0657297518412,182.51160833616288,183.34405197172552,614579,0.3217505543966423,12,0.621300391
2676,1378,182.10034803462187,182.5365737627347,183.3783186857845,615174,0.24497866312686423,11,0.626847576
2677,1377,182.13091298483232,182.5615391893065,183.41257899784165,614150,0.24497866312686423,10,0.611657523
